THERAPEUTIC TABLE,,
INN Name,Identifier for the molecule: International nonproprietary name of the therapeutic according to the WHO (https://www.who.int/teams/health-product-and-policy-standards/inn/inn-bio),
Therapeutic ID,Primary Key- IDC unique identifier for the specific drug (thus associated to a unique trade name),
Trade name,Commercial name for the drug product (if approved) or alternative name give to an unapproved drug,
Manufacturer,Organization(s) who market(ed) the therapeutic,
Labelled as Biosimilar?,Whether the therapeutic is a biosimilar of a parental molecule,
Progeny of,"If the therapeutic is a biosimilar or reformulation of a parental therapeutic, that parental therapeutic ID will be listed here",
Protein Description,Free-form description of the therapeutic taken from the reference database or manufacturer,
Protein Modality,"Controlled language category describing the type of biotherapeutic. Note an immunotoxin here is classified as a binder (antibody, cytokine, etc.) fused to a toxin (ex. Diptheria toxin)",
Species,"Controlled language describing the most foreign species by which the sequence was derived. For example, an immunotoxin with a fully human ScFv fused to a bacterial toxin would be considered bacterial.",
Antibody Backbone,"Controlled language describing the specific, isotype, etc. for the antibody constant regions incorproated in the therpaeutic",
Light Chain,"Controlled language for light chain containing therapeutics only, lamnda or kappa",
Fc Modifications,Only relevant for Fc containing therapeutics: any noted modifications made the Fc (Note the reported sequence was not analyzed to determine if any Fc modifications were made or to variefy modifications),
Conjugate Modification,Controlled language describing if any conjugates were added to the drug post expression,
Conjugate Description,"Free from description of the conjugate modifying the drug, if any were made",
Expression System,Host organism in which the genetic constructs designed to produce the protein were incorporated into,
Sequence IDC database Identifier(s),IDC unique identifier(s) for the amino acid sequence of the therapeutic that are listed in the Sequence table,
Sequence Verified?,A sequence is considered verified if it was found in at least two independent databases,
Target(s) (Protein/Molecule),The name of the target that the therapeutic binds to or targets to carry out its therapeutic effect,
Mechanism of Action,Free-form description of the therapeutics mechanism of action,
Furthest Development Stage Reached,Controlled language indicating the further clinical stage of evaluation that the therapeutic reached to date,
FDA approved,Whether the therapeutic was ever approved by the FDA,
First FDA approval,Date of FDA approval for the oldest indication of the therapeutic,
EU approval ,Whether the therapeutic was ever approved by the EU,
First EU approval ,Date of EU approval for the oldest indication of the therapeutic,
,,
SEQUENCE TABLE,,
Sequence ID,Primary Key- IDC unique identifier for the protein chain sequence for the molecule,
Parental Molecule Therapeutic ID,Foreign Key- IDC unique identifier for the drug representing the original parental molecule (or just the singular drug if no biosimilars or alternative formulations are in the dataset),
INN Name,International nonproprietary name of the therapeutic according to the WHO (https://www.who.int/teams/health-product-and-policy-standards/inn/inn-bio),
Chain Multiplicity,Number of times the chain is represented in the protein complex,
Chain Identifier,Identifier for the individual chain within the protein complex,
Chain Descriptor,"Controlled language descriptor that indicated if the chain is a heavy chain, light chain or domain (and if so what number within the protein complex)",
Amino Acid Sequence,Amino acid sequence for the indicated chain,
Sequence Source,Reference link to source(s) where amino acid sequence was found,
,,
CLINICAL TRIAL TABLE,,
Manually Audited,Indicates whether the row has been manually reviewed after its entry into the dataset to ensure its accurarcy. Manually reviewed rows could be considered as higher quality.,
Trial ID,Primary Key- IDC unique identifier for the individual clinical trial,
Trial External Source,Controlled language describing the source type where the clinical trial data was acquired from,
External Source Identifier,Unique identifier for the specific source of the clinical trial data,
Molecule Assessed for ADA INN Name,The INN name of the therapeutic that is being assess for ADA in said row,
Therapeutic Assessed for ADA Trade name,The trade name of the drug that is being assess for ADA in said row,
Therapeutic Assessed for ADA ID,Foreign Key- The therapeutic ID of the therapeutic that is being assess for ADA in said row,
IDC Row identifier,"Primary Key- Unique identifier generated based on the clinical trial ID, the arm ID (e.g. A1 = Arm 1) and the datapoint ID for that arm (e.g. 001 = datapoint 1 for the indicated arm).",
Immunogenicity testing,"Indicates what the specific target was for the ADA testing (ex. For a bi-specific you could be evaluating ADA against arm 1 or arm 2, or for a PEGylated molecule you could evaluate ADA against the molecule or the PEG)",
Therapeutic Exposure Status,Indicates if the cohort has been exposed to the drug or not (Therapeutic Naïve vs Therapeutic Exposed). Pre-dose measures or placebo control groups would be labeled as Therapeutic Naïve.,
Trial Arm Description,Free-form description of the assigned intervention for the specific arm in the trial,
Trial Arm Timepoint Description,Free-form description of the timepoint within the trial that the data is being captured,
Dosing Description,Free-form description of the dosing specifications for the therapeutic of interest and other drugs for the cohort. This could include dosing level and frequency.,
Therapeutic Dosing Schedule Description,Free-form description of the dosing schedule for the therapeutic which could include the dates or cadence of dosing and the number and length of treatment periods.,
Disease Indication Category,Controlled language indicating the broad category the cohorts disease indication falls within,
Disease Indication Description,Free-form description iof the disease indication(s) being evaluated,
Co-administered drugs,Free-form list of other drugs administered in the trial arm. May include other biologics with the Protein IDC Identifiers indicator or small molecule drugs.,
Patient Population,Free-form description of the demographics of the patients evaluated in either the cohort or trial,
Trial Start Date,Date the clinical trial was started. This could be left blank if it was not reported in the source document.,
Trial End Date,Date the clinical trial ended. This could be left blank if it was not reported in the source document.,
Therapeutic Route of Administration,Controlled language indicating the route of adminstration for the therapeutic within the cohort,
Immunogenicity Assessment Reported Up To (Days),"Number of days an ADA measurement was taken post-dose of a therapeutic. Sometimes this is reported in source documents as the maximum date ADA was assessed at, thus could represent multiple earlier dates as well.",
Number of Patients analyzed for ADA,Number of patients evaluated for ADA for the given cohort at the given timepoint,
Number of ADA+ patients,Number of patients testing postive for ADA above the threshold specificied by the parameters of the ADA assay,
Frequency of ADA+ patients,Number of patients testing postive for ADA divided by the total number of patients analyzed for ADA,
ADA detection assay used,"If reported, information around the type of ADA assay used. In some entries this could also contain information about the assay sensitivity.",
ADA assay sensitivity or calculation,"If reported, information around the ADA assay sensitivity and parameters by which a patient was determined to be ADA+ or ADA negative",
Number of patients analyzed for ADA titers,Number of patients evaluated for ADA titers for the given cohort at the given timepoint,
Average ADA titers,Reported average ADA titers amongst those evaluated,
nADAs detected,Indicates whether any neutralizing ADAs were reported. Sometimes the presence or absence of nADAs are the only measures reported.,
Number of patients analyzed for nADAs titers,Number of patients evaluated for neturalizing ADA titers for the given cohort at the given timepoint,
Average nADA's titers,Reported average neturalizing ADA titers amongst those evaluated,
Number of patients analyzed for nADA,Number of patients evaluated for neturalizing ADA for the given cohort at the given timepoint,
Number of patients with nADAs,Number of patients testing postive for neutralizing ADA above the threshold specificied by the parameters of the assay,
Frequency nADA+ patients reported,Number of patients testing postive for nADA divided by the total number of patients analyzed for nADA,
Frequency of patients with hypersensitivity or injection site reactions,Reported frequency of patients reported to have severe hypersensitivity or injection site reactions. These may or may not be correlated with ADA positivity.,
ADA interpreted to impact PK,Reported conclusions whether ADA was correlated or implicated in the impact of Pharmacokinetics of the therapeutic.,
ADA interpreted to impact Efficacy,Reported conclusions whether ADA was correlated or implicated in the impact of efficacy of the therapeutic.,
Prospective or Retrospective,Indicating whether the trial was conducted as a prospective or retrospective study,
Randomized or Not Randomized,Indicating whether the trial was randomized or not randomized in relation to the therapeutic being assessed for ADAs,
Trial Blinding Type,Whether the trial was blinded,
Therapeutic Comparator,Indicating what type of comparator the therapeutic was assessed against (if any),
Trial Primary Endpoint,Free-form text indicating what the primary endpoints of the trial were,
